INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Jamison','Brekke','Jamison_Brekke@example.com','$2a$10$h40fikivpa2mOMHbGGBmqu8hp1JwSZRWjR4osLU1fxNF1PbmWkE2W',512587205971935,'9124 Ludie Shore');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Rashawn','Grimes','Rashawn.Grimes@example.com','$2a$10$rMl4CAbpc.FObtPEBi5MQOr.vrnds2eL4xvPY4wn3l6sLuy2NK.6S',185873807153446,'03911 Gibson Shoals');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Lexus','Renner','Lexus_Renner77@example.com','$2a$10$8bSe.E04f1EckG0Aw2jgEecOwWd1I3oe.jy2hr09CaXT2thI/81vy',732788822001420,'59836 Xzavier Turnpike');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Roosevelt','Boyle','Roosevelt_Boyle@example.com','$2a$10$NUV37pPY1OnEJqwalJwNNuf22dZaCh1XnUwfsOWX4Q1brUZsotiQa',726406605656743,'074 Lynch Mountains');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Ryder','Wyman','Ryder23@example.com','$2a$10$ebqld4wbbemDWZKGs5dobuVjqblJBI2EcbQVQ8L8KRXL0i6FcU87O',543561532519868,'781 Prosacco Isle');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Harley','Corkery','Harley.Corkery66@example.com','$2a$10$uva2ci6qV8/hvlLFXf/I.OkGx4/W4grul3/ZHx0zuIuhCJorPzqqi',614775511051363,'1663 Chloe Ports');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Rod','Strosin','Rod72@example.com','$2a$10$wwsFtozysnDPu8tUDFHjrOBkO9J1Nd.uV9Y1pYWYnBHwXPwPufcdm',815443618225611,'9158 Brice Stravenue');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Verdie','Toy','Verdie.Toy@example.com','$2a$10$rH2lux22b57432jL.1RVCea8OM4XUJ53R5ZFLDGYrDo0zhvjMs792',858497699666613,'250 Kulas Coves');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Mariam','Hagenes','Mariam_Hagenes@example.com','$2a$10$2WMwf1dzKtxg4dUL6KVKFuVFWDavRls1EDNds2mSMCqdwXblNjHgS',985085374039838,'459 Florian Club');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Letitia','Casper','Letitia.Casper36@example.com','$2a$10$26yGaD1EMUynvJAYS0ZMA.UsEniajxR0Lz7N1c5ArEJImiRnOQDLi',745076141696465,'2853 Stehr Village');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Gerardo','Armstrong','Gerardo_Armstrong0@example.com','$2a$10$jlwsdJi98za8obMr/ODzAOY45i4nRekqmV9XPnCr69/Zfxxognd5e',347249291808611,'54354 Wolff Keys');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Elenor','Bahringer','Elenor0@example.com','$2a$10$T9SxuqqpBaswSoQRz9P.AuMERyzB51UJPDpjgTWk4RXh2li4cJarW',909655230121308,'0528 Leonie Cape');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Casey','Kohler','Casey.Kohler53@example.com','$2a$10$KWPZNkWDnCCXIiwSPhgeqeqBxmnWyW3S2gYI/96z/dEcLmsPKnXX6',101256698041440,'260 Durgan Islands');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Georgiana','Bauch','Georgiana12@example.com','$2a$10$H7y/aJ3ai9uUhZTk27I/LOvpfMnbOwVgvbDbwJkKllxppkmMWN.O.',640048790912560,'97161 Favian Prairie');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Shaina','Bins','Shaina.Bins1@example.com','$2a$10$ZOzOj9OTBbayZYMeFYupY.dJFQugabXI2S0tR2sr5sx33KnoV87lG',805117313588744,'83657 Malika Motorway');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Viva','Predovic','Viva65@example.com','$2a$10$Gz5ewwnTOOU0BxlWms5eH.rkhhD5LBl7SiUkRZ6jlfadyOL1jmUga',512861730542383,'553 Norma Key');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Fiona','Bednar','Fiona13@example.com','$2a$10$L0OKk23CmLleTzDgzWFnsuLxddhZhEkByND2gifs6zLoBck9OiGx2',516843899419832,'43202 Ricardo Rest');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Moses','Koelpin','Moses_Koelpin0@example.com','$2a$10$Ub6qAxMWEZJCJEsXwwUurey0EZM4isSFYA/eOEIzp0LkY2NVrt3O.',786229120445293,'5504 Wilfrid Square');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Milo','Weber','Milo_Weber58@example.com','$2a$10$8AjQh3wVC5Xt3p1AELfupeCJiCLM7OnLlV/2A/jJJA/RX5Ze9juSy',759970622600053,'4727 Olen Points');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Lucinda','Larkin','Lucinda48@example.com','$2a$10$2JCFe4aICmFRjRys7bGqn.lg4/dIqX/4U0ccJC6hwm1aTWxWMyoZW',426695881604959,'30658 West Pass');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Camila','Thompson','Camila.Thompson@example.com','$2a$10$sIAZOuSQFN5za72OShk28uVu0GVEvJISM286Bg3X8UjSUvy8EWcya',923343700036805,'500 Kayden Hill');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Adelia','Lubowitz','Adelia_Lubowitz@example.com','$2a$10$ReXe/9XpEuImh8ob1TlZN.xz2bhgSLv8/dkvyvq9bRatEa.d5f2ma',960808937506846,'86608 Lavinia Harbor');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Shana','Kub','Shana30@example.com','$2a$10$nKaB8xk8ItoodC9WfK/Qfelb3sMa1OxL0qxLGH/q6S38nv7Gv4qOu',154596367614528,'4432 Stanton Forges');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('June','Ondricka','June.Ondricka74@example.com','$2a$10$M09rYYqy7Gcz/0mQY1ER4Ob0o7pYXLArlIvQibLzqjUk5mXqYJdFS',722737849156276,'4298 Predovic Route');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Nicolas','Wisozk','Nicolas.Wisozk49@example.com','$2a$10$5Wqm8Ku0dokDQZBQ9Q6JjuPVDjrMyjuEdkKbfTrXRENbmXGYVYANu',750024015114293,'287 Rae Heights');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Rosalyn','Heaney','Rosalyn_Heaney@example.com','$2a$10$sFrtpXmBXDsJWmNwXVbgP.cg8v30TYKPgH8CHCd5RAgiXDMkrnqjS',37713351712121,'8132 Pearline Club');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Alexys','Muller','Alexys35@example.com','$2a$10$salBdRQ17gkR4TIuSppeZe3v20rIpVzvEgyLa/3U1FdL.41a.IDAy',758673921736128,'8002 Cordell Parks');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Frederik','Muller','Frederik.Muller@example.com','$2a$10$q2.bE8pHckar7creUEoLPuKMlFDC/kiRE/Fp7k4ibB45q1/qFfz7K',475948188340731,'942 Zemlak Park');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Andres','Kris','Andres28@example.com','$2a$10$mLjj5aTJDkPhpsFoQ/AgW.wLumqqBLv7qr5L1EedLW8qjto9aPKfi',97742762598149,'095 Julian Court');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Sister','McLaughlin','Sister.McLaughlin@example.com','$2a$10$H51SrHg/9olC7IFKlUhA5.PGTdUhx5AbpQkASm2F5PDp/fpvPcUGO',908153965211455,'06882 Zoey Burg');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Norberto','Prosacco','Norberto_Prosacco27@example.com','$2a$10$TYxRigL99nUtRQeVbcm5du4W7xMkw4r9Zkg5mPzmC070PTrzmPxBG',916872405088281,'77921 Paxton Fork');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Reanna','Treutel','Reanna.Treutel@example.com','$2a$10$qDTQpMMdXgteJK86w86BAe3rTEWM20Ng63eMfMTQtTiBOq2ONUWPe',265207807813281,'479 Rhiannon Landing');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Doyle','Hettinger','Doyle73@example.com','$2a$10$q5GmdvaCF.tp268MX9oNuukfS3FLd.uevyzz9V6307m17ibwovXkm',261340618696498,'33163 Rau Lights');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Delbert','Bruen','Delbert25@example.com','$2a$10$AQjbo5Xh2V1SGbnuPd5t2u.GSHrg7DU3vhIOJUOKQH3DHfYwGC/.K',524550272510180,'851 Rau Dam');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Cordell','Wilderman','Cordell22@example.com','$2a$10$RA03s9wE3HSpayoFk3o9euK3uqjvyv0L2glCeod7TTPk/560LlO3u',238286144641223,'307 Ledner Radial');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Augusta','Hackett','Augusta_Hackett86@example.com','$2a$10$at36JUg8n6Y16kybQy.9DedRjkBjKeYDh8LRrh9nmrDdQxaSar9ba',106008852783041,'5587 Tobin Glen');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Melissa','Kilback','Melissa67@example.com','$2a$10$/DvcX93lldusK5ozpdrZSuOB7OnvnHU1WlT4OEz8eVnW3LqEmT8Bi',622353530916765,'937 Harvey Knoll');
INSERT INTO user (first_name, last_name, email, password, phone_number, address) VALUES('Maximo','Gislason','Maximo.Gislason@example.com','$2a$10$paAh6NykA1Wa/1m.P76alucZ62xeEFCaPvu.ZevbbYIGyG9/iUP4W',638051895716708,'342 Waldo Meadow');
